selling_price,km_driven,age,make,model,Petrol,Manual
6.99,20000,7,HYUNDAI,I20 ACTIVE,0,1
3.15,57000,13,TOYOTA,COROLLA ALTIS,1,1
3.4,21717,9,MARUTI,WAGON R,1,1
5,40000,9,RENAULT,DUSTER 85PS,0,1
10.5,50000,6,HONDA,CITY I-VTEC,1,1
6,90000,7,RENAULT,DUSTER 110PS,0,1
4.78,90000,6,FIAT,AVVENTURA URBAN,0,1
4.91,27876,6,MARUTI,SWIFT VXI,1,1
20.9025,56000,7,LAND,ROVER DISCOVERY,1,0
1.6,57215,15,HYUNDAI,I10 ASTA,1,1
9.85,5400,4,HYUNDAI,VENUE SX,1,1
5,60000,9,MARUTI,SWIFT DZIRE,0,1
3.35,24800,6,TATA,TIAGO 1.2,1,1
0.85,70000,18,MARUTI,ALTO LXI,1,1
9.5,59450,7,HONDA,BRV I-DTEC,0,1
7.4,20000,5,HONDA,JAZZ VX,1,0
2,90000,13,TATA,INDICA VISTA,0,1
3.75,34553,10,MARUTI,SWIFT VXI,1,1
8.1,40000,5,MARUTI,VITARA BREZZA,0,1
1.73,350000,13,VOLKSWAGEN,POLO PETROL,1,1
7,50000,6,MARUTI,VITARA BREZZA,0,1
3.1,70000,7,MAHINDRA,KUV 100,0,1
8.5,120000,6,MAHINDRA,SCORPIO 1.99,0,1
2.85,90000,10,HYUNDAI,I20 ERA,0,1
4.5,120000,9,MARUTI,SWIFT DZIRE,0,1
11,80000,6,HYUNDAI,CRETA 1.6,0,1
3.5,155000,12,MAHINDRA,XYLO E4,0,1
10.8,30000,6,MAHINDRA,SCORPIO 1.99,0,1
5.3,66100,9,HONDA,CITY I,0,1
6.8,50000,6,MARUTI,SWIFT DZIRE,0,1
10.25,42000,6,MAHINDRA,SCORPIO 1.99,0,1
6.5,55000,6,HYUNDAI,I20 1.2,1,1
1.94,110699,11,HYUNDAI,I10 MAGNA,1,1
6.86,5000,4,MARUTI,BALENO DELTA,1,0
2,50000,7,MARUTI,ALTO 800,1,1
2.5,44000,13,MARUTI,SWIFT DZIRE,1,1
7.3,90000,5,MARUTI,VITARA BREZZA,0,1
6.5,55000,7,HYUNDAI,VERNA 1.6,1,1
7.9,45000,6,MARUTI,VITARA BREZZA,0,1
6.2,30000,6,MARUTI,BALENO ZETA,1,1
5.1,50000,10,HYUNDAI,VERNA 1.6,1,1
3.75,20000,10,MARUTI,EECO 5,1,1
5.25,69000,8,NISSAN,TERRANO XV,0,1
6.2,19843,6,MARUTI,SWIFT DZIRE,1,0
2.7,20000,9,TATA,INDIGO LS,0,1
9.5,30000,12,FORD,ENDEAVOUR 3.0L,0,0
14.5,52300,6,TOYOTA,INNOVA CRYSTA,0,1
8.45,40000,7,HONDA,CITY I,1,0
3.9,61500,9,MARUTI,SWIFT DZIRE,0,1
3.95,59000,8,HONDA,AMAZE S,1,1
4.5,40000,5,HYUNDAI,GRAND I10,1,1
17,60000,10,AUDI,A6 2.0,0,0
3.25,61000,10,HYUNDAI,GRAND I10,1,1
3.5,70000,7,MAHINDRA,KUV 100,0,1
6.5,63000,10,MAHINDRA,XUV500 W8,0,1
12.5,58000,11,MERCEDES-BENZ,E-CLASS E,1,1
2.2,40000,10,MARUTI,ZEN ESTILO,1,1
3.5,49000,8,MAHINDRA,QUANTO C8,0,1
7.5,22000,6,MARUTI,SWIFT DZIRE,0,1
2.99,57977,13,HONDA,CITY 1.5,1,1
3.78,70000,7,HYUNDAI,XCENT 1.1,0,1
20.9025,13000,5,LAND,ROVER RANGE,1,0
13.25,67000,11,MINI,COOPER 3,1,0
5.24,48242,9,MARUTI,ERTIGA VDI,0,1
1.69,68000,11,FORD,FIGO DIESEL,0,1
5,40000,9,MARUTI,ERTIGA ZDI,0,1
20,98000,11,AUDI,Q7 2006-2020,0,0
3.8,113450,10,MARUTI,SWIFT DZIRE,0,1
4,80000,5,MARUTI,WAGON R,1,0
5.65,1000,3,HYUNDAI,SANTRO SPORTZ,1,0
3.35,20292,8,MARUTI,WAGON R,1,1
3,67900,13,MAHINDRA,SCORPIO 2009-2014,0,1
2,70000,11,CHEVROLET,BEAT DIESEL,0,1
10.51,40000,8,MAHINDRA,SCORPIO 1.99,0,1
5.1,60000,6,HYUNDAI,GRAND I10,0,1
